ID,EBC,Hex,Rgb
1,2,#FFE699,"255,230,153"
2,4,#FFD878,"255.216,120"
3,6,#FFCA5A,"255,202,90"
4,8,#FFBF42,"255,191,66"
5,10,#FBB123,"251,177,35"
6,12,#F8A600,"248,166,0"
7,14,#F39C00,"243,156,0"
8,16,#EA8F00,"234,143,0"
9,18,#E58500,"229,133,0"
10,20,#DE7C00,"222,124,0"
11,22,#D77200,"215,114,0"
12,24,#CF6900,"207,105,0"
13,26,#CB6200,"203,98,0"
14,28,#C35900,"195,89,0"
15,30,#BB5100,"187,81,0"
16,32,#B54C00,"181,76,0"
17,33,#B04500,"176,69,0"
18,35,#A63E00,"166,62,0"
19,37,#A13700,"161,55,0"
20,39,#9B3200,"155,50,0"
21,41,#952D00,"149,45,0"
22,43,#8E2900,"142,41,0"
23,45,#882300,"136,35,0"
24,47,#821E00,"130,30,0"
25,49,#7B1A00,"123.26,0"
26,51,#771900,"119,25,0"
27,53,#701400,"112,20,0"
28,55,#6A0E00,"106,14,0"
29,57,#660D00,"102,13,0"
30,59,#5E0B00,"94,11,0"
31,61,#5A0A02,"90,10,2"
32,63,#560A05,"86,10,5"
33,65,#520907,"82,9,7"
34,67,#4C0505,"76,5,5"
35,69,#470606,"71,6,6"
36,71,#440607,"68,6,7"
37,73,#3F0708,"63,7,8"
38,75,#3B0607,"59,6,7"
39,77,#3A070B,"58,7,11"
40,80,#000000,"0,0,0"
41,79,#36080A,"54,8,10"
